City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
7,Saint George,US,72.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
10,Atuona,PF,78.51,clear sky,-9.8,-139.0333,Villa Enata
11,Cidreira,BR,70.2,few clouds,-30.1811,-50.2056,Hotel Castelo
14,Victoria Point,AU,74.08,clear sky,-27.5833,153.3,Bay Retreat Motel
18,Clarence Town,AU,70.34,overcast clouds,-32.5833,151.7833,River Downs Cottage
27,Indramayu,ID,81.46,very heavy rain,-6.3264,108.32,Grand Trisula Hotel
28,Saint-Philippe,RE,78.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Araguacu,BR,84.58,light rain,-12.9306,-49.8264,Hotel Tocantins
34,Manokwari,ID,77.95,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
35,Rikitea,PF,76.41,scattered clouds,-23.1203,-134.9692,People ThankYou
36,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
40,Kapaa,US,76.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Kefamenanu,ID,75.06,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
53,Hilo,US,80.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,Alice Springs,AU,71.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
55,Touros,BR,85.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
56,Kirakira,SB,80.2,overcast clouds,-10.4544,161.9205,SanBiz Lodge
60,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti Beach Resort
62,French Harbor,HN,84.2,scattered clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
63,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Lethem,GY,87.37,overcast clouds,3.3803,-59.7968,Savannah Inn
72,Manggar,ID,79.75,overcast clouds,-2.8833,108.2667,Guest Hotel
75,Laguna,US,76.23,fog,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
76,Basco,PH,72.03,broken clouds,20.4487,121.9702,Nathaniel's Lodge
78,Butaritari,KI,82.89,broken clouds,3.0707,172.7902,Isles Sunset Lodge
81,Hithadhoo,MV,81.45,clear sky,-0.6,73.0833,Scoop Guest House
84,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
85,Labuhan,ID,79.05,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
87,Auki,SB,78.64,overcast clouds,-8.7676,160.7034,Auki Motel
89,Bengkulu,ID,76.78,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
90,Atar,MR,71.28,overcast clouds,20.5169,-13.0499,Oumou Elghoura
91,Binulasan,PH,75.83,overcast clouds,14.7317,121.6986,Blue Pavilion Beach Resort
94,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
98,Diffa,NE,77.0,few clouds,13.3154,12.6113,ProDAF/Diffa
105,Liwale,TZ,70.2,clear sky,-9.7667,37.9333,Samoma lodge
109,Kavaratti,IN,81.27,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
110,Bonthe,SL,80.82,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
111,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
113,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
